,life_satis,y_age,sex,educ,mar_st,occupation,vacation,money,fin_state_change,yj60.4a8,change_job,social_media,preg,physical_activity,alcohol,smoker,depression,health,level_of_trust,num_of_children,is_religious
0,5.0,65.0,2.0,4.0,5.0,4.0,0.0,19700.0,4.0,2.0,1.0,1.0,0.0,99999995.0,0.0,2.0,2.0,3.0,2.0,3.0,1.0
1,3.0,76.0,2.0,3.0,1.0,4.0,0.0,17376.0,3.0,2.0,2.0,0.0,0.0,99999995.0,2.0,2.0,2.0,3.0,3.0,0.0,2.0
2,3.0,74.0,2.0,5.0,2.0,4.0,0.0,22000.0,3.0,2.0,2.0,2.0,0.0,6.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0
3,1.0,66.0,2.0,2.0,2.0,4.0,0.0,16300.0,3.0,2.0,2.0,2.0,0.0,99999995.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0
4,4.0,52.0,2.0,4.0,2.0,12.0,1.0,30000.0,3.0,2.0,2.0,1.0,2.0,99999995.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0
5,3.0,62.0,2.0,4.0,2.0,4.0,0.0,28800.0,3.0,2.0,2.0,0.0,0.0,99999995.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0
6,2.0,66.0,1.0,4.0,2.0,12.0,2.0,38000.0,3.0,2.0,2.0,0.0,0.0,99999995.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0
7,4.0,92.0,2.0,1.0,5.0,4.0,0.0,25000.0,3.0,2.0,2.0,0.0,0.0,99999995.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0
8,3.0,67.0,2.0,5.0,5.0,4.0,0.0,17900.0,3.0,2.0,2.0,1.0,0.0,99999995.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0
9,4.0,66.0,2.0,5.0,2.0,4.0,0.0,24000.0,3.0,2.0,2.0,1.0,0.0,99999995.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0
10,3.0,67.0,2.0,4.0,5.0,4.0,0.0,26900.0,3.0,2.0,1.0,1.0,0.0,99999995.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0
11,4.0,44.0,2.0,6.0,3.0,12.0,1.0,90000.0,2.0,2.0,2.0,1.0,2.0,99999995.0,1.0,2.0,2.0,3.0,3.0,1.0,2.0
12,2.0,57.0,2.0,4.0,2.0,12.0,2.0,45500.0,3.0,2.0,2.0,1.0,0.0,6.0,1.0,2.0,2.0,3.0,2.0,3.0,2.0
13,4.0,51.0,1.0,4.0,2.0,12.0,2.0,38000.0,3.0,2.0,2.0,1.0,0.0,99999995.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0
14,3.0,39.0,1.0,3.0,1.0,12.0,2.0,12800.0,3.0,2.0,2.0,1.0,0.0,99999995.0,1.0,1.0,2.0,2.0,2.0,0.0,2.0
15,4.0,58.0,2.0,6.0,2.0,12.0,1.0,54000.0,3.0,2.0,2.0,2.0,0.0,99999995.0,1.0,2.0,2.0,3.0,2.0,1.0,2.0
16,4.0,57.0,1.0,6.0,2.0,12.0,1.0,60000.0,2.0,2.0,2.0,2.0,0.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0
17,2.0,56.0,2.0,4.0,2.0,4.0,0.0,11000.0,4.0,2.0,2.0,1.0,0.0,99999995.0,1.0,2.0,2.0,3.0,2.0,0.0,2.0
18,3.0,58.0,1.0,4.0,2.0,13.0,0.0,13000.0,5.0,2.0,2.0,1.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0
19,2.0,83.0,2.0,5.0,5.0,4.0,0.0,22500.0,3.0,2.0,2.0,0.0,0.0,6.0,0.0,2.0,2.0,4.0,1.0,3.0,1.0
20,4.0,43.0,2.0,6.0,2.0,12.0,1.0,32000.0,2.0,2.0,2.0,1.0,2.0,99999995.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0
21,2.0,43.0,2.0,5.0,5.0,12.0,2.0,25000.0,3.0,2.0,2.0,1.0,2.0,99999995.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0
22,2.0,81.0,1.0,1.0,5.0,4.0,0.0,20000.0,3.0,2.0,2.0,0.0,0.0,99999995.0,2.0,2.0,2.0,5.0,2.0,2.0,3.0
23,1.0,70.0,2.0,4.0,5.0,4.0,0.0,14800.0,4.0,2.0,2.0,0.0,0.0,99999995.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0
24,1.0,71.0,2.0,2.0,2.0,4.0,0.0,20000.0,3.0,2.0,2.0,1.0,0.0,99999995.0,2.0,2.0,2.0,5.0,2.0,2.0,1.0
25,2.0,74.0,1.0,2.0,2.0,4.0,0.0,19000.0,3.0,2.0,2.0,0.0,0.0,99999995.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0
26,4.0,36.0,2.0,3.0,2.0,12.0,1.0,15000.0,3.0,2.0,2.0,1.0,2.0,99999995.0,0.0,1.0,2.0,2.0,1.0,0.0,2.0
